"TiempoKey","Fecha","Año","Mes","Dia","NombreMes","Trimestre"
"2","1/01/2024 00:00:00","2024","1","1","January","1"
"3","2/01/2024 00:00:00","2024","1","2","January","1"
"4","3/01/2024 00:00:00","2024","1","3","January","1"
"5","4/01/2024 00:00:00","2024","1","4","January","1"
"6","5/01/2024 00:00:00","2024","1","5","January","1"
"7","6/01/2024 00:00:00","2024","1","6","January","1"
"8","7/01/2024 00:00:00","2024","1","7","January","1"
"9","8/01/2024 00:00:00","2024","1","8","January","1"
"10","9/01/2024 00:00:00","2024","1","9","January","1"
"11","10/01/2024 00:00:00","2024","1","10","January","1"
"12","11/01/2024 00:00:00","2024","1","11","January","1"
"13","12/01/2024 00:00:00","2024","1","12","January","1"
"14","13/01/2024 00:00:00","2024","1","13","January","1"
"15","14/01/2024 00:00:00","2024","1","14","January","1"
"16","15/01/2024 00:00:00","2024","1","15","January","1"
"17","16/01/2024 00:00:00","2024","1","16","January","1"
"18","17/01/2024 00:00:00","2024","1","17","January","1"
"19","18/01/2024 00:00:00","2024","1","18","January","1"
"20","19/01/2024 00:00:00","2024","1","19","January","1"
"21","20/01/2024 00:00:00","2024","1","20","January","1"
"22","21/01/2024 00:00:00","2024","1","21","January","1"
"23","22/01/2024 00:00:00","2024","1","22","January","1"
"24","23/01/2024 00:00:00","2024","1","23","January","1"
"25","24/01/2024 00:00:00","2024","1","24","January","1"
"26","25/01/2024 00:00:00","2024","1","25","January","1"
"27","26/01/2024 00:00:00","2024","1","26","January","1"
"28","27/01/2024 00:00:00","2024","1","27","January","1"
"29","28/01/2024 00:00:00","2024","1","28","January","1"
"30","29/01/2024 00:00:00","2024","1","29","January","1"
"31","30/01/2024 00:00:00","2024","1","30","January","1"
"32","31/01/2024 00:00:00","2024","1","31","January","1"
"33","1/02/2024 00:00:00","2024","2","1","February","1"
"34","2/02/2024 00:00:00","2024","2","2","February","1"
"35","3/02/2024 00:00:00","2024","2","3","February","1"
"36","4/02/2024 00:00:00","2024","2","4","February","1"
"37","5/02/2024 00:00:00","2024","2","5","February","1"
"38","6/02/2024 00:00:00","2024","2","6","February","1"
"39","7/02/2024 00:00:00","2024","2","7","February","1"
"40","8/02/2024 00:00:00","2024","2","8","February","1"
"41","9/02/2024 00:00:00","2024","2","9","February","1"
"42","10/02/2024 00:00:00","2024","2","10","February","1"
"43","11/02/2024 00:00:00","2024","2","11","February","1"
"44","12/02/2024 00:00:00","2024","2","12","February","1"
"45","13/02/2024 00:00:00","2024","2","13","February","1"
"46","14/02/2024 00:00:00","2024","2","14","February","1"
"47","15/02/2024 00:00:00","2024","2","15","February","1"
"48","16/02/2024 00:00:00","2024","2","16","February","1"
"49","17/02/2024 00:00:00","2024","2","17","February","1"
"50","18/02/2024 00:00:00","2024","2","18","February","1"
"51","19/02/2024 00:00:00","2024","2","19","February","1"
"52","20/02/2024 00:00:00","2024","2","20","February","1"
"53","21/02/2024 00:00:00","2024","2","21","February","1"
"54","22/02/2024 00:00:00","2024","2","22","February","1"
"55","23/02/2024 00:00:00","2024","2","23","February","1"
"56","24/02/2024 00:00:00","2024","2","24","February","1"
"57","25/02/2024 00:00:00","2024","2","25","February","1"
"58","26/02/2024 00:00:00","2024","2","26","February","1"
"59","27/02/2024 00:00:00","2024","2","27","February","1"
"60","28/02/2024 00:00:00","2024","2","28","February","1"
"61","29/02/2024 00:00:00","2024","2","29","February","1"
"62","1/03/2024 00:00:00","2024","3","1","March","1"
"63","2/03/2024 00:00:00","2024","3","2","March","1"
"64","3/03/2024 00:00:00","2024","3","3","March","1"
"65","4/03/2024 00:00:00","2024","3","4","March","1"
"66","5/03/2024 00:00:00","2024","3","5","March","1"
"67","6/03/2024 00:00:00","2024","3","6","March","1"
"68","7/03/2024 00:00:00","2024","3","7","March","1"
"69","8/03/2024 00:00:00","2024","3","8","March","1"
"70","9/03/2024 00:00:00","2024","3","9","March","1"
"71","10/03/2024 00:00:00","2024","3","10","March","1"
"72","11/03/2024 00:00:00","2024","3","11","March","1"
"73","12/03/2024 00:00:00","2024","3","12","March","1"
"74","13/03/2024 00:00:00","2024","3","13","March","1"
"75","14/03/2024 00:00:00","2024","3","14","March","1"
"76","15/03/2024 00:00:00","2024","3","15","March","1"
"77","16/03/2024 00:00:00","2024","3","16","March","1"
"78","17/03/2024 00:00:00","2024","3","17","March","1"
"79","18/03/2024 00:00:00","2024","3","18","March","1"
"80","19/03/2024 00:00:00","2024","3","19","March","1"
"81","20/03/2024 00:00:00","2024","3","20","March","1"
"82","21/03/2024 00:00:00","2024","3","21","March","1"
"83","22/03/2024 00:00:00","2024","3","22","March","1"
"84","23/03/2024 00:00:00","2024","3","23","March","1"
"85","24/03/2024 00:00:00","2024","3","24","March","1"
"86","25/03/2024 00:00:00","2024","3","25","March","1"
"87","26/03/2024 00:00:00","2024","3","26","March","1"
"88","27/03/2024 00:00:00","2024","3","27","March","1"
"89","28/03/2024 00:00:00","2024","3","28","March","1"
"90","29/03/2024 00:00:00","2024","3","29","March","1"
"91","30/03/2024 00:00:00","2024","3","30","March","1"
"92","31/03/2024 00:00:00","2024","3","31","March","1"
"93","1/04/2024 00:00:00","2024","4","1","April","2"
"94","2/04/2024 00:00:00","2024","4","2","April","2"
"95","3/04/2024 00:00:00","2024","4","3","April","2"
