id_area,area,area_solicitante
0,OTROS,COE MOD Y MET PARA LA GESTION DEL RIESGO
1,TRIBUS,GERENCIA DE DIVISION SEGMENTOS PERSONAS
2,TRIBUS,TRIBU PRODUCTOS CREDITICIOS EMP & CORP
3,GDH,GCIA DE DIVISION CANALES DE ATENCION
4,GDH,"COE RIESGOS MERCA ESTRUC, NEGOCI Y LIQUI"
5,TRIBUS,TRIBU TESORERÍA
6,OTROS,GERENCIA DE DIVISION DE AUDITORIA
7,OTROS,GCIA ÁREA FINANZAS CORP Y CLIENTES ESTRU
8,DIVISION YAPE,TRIBU YAPE PAGOS
9,INGENIERIA,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
10,MANTENIMIENTO,GERENCIA DE AREA DE SOSTENIBILIDAD
11,DIVISION YAPE,SIN_AREA
12,TRIBUS,GCIA DE DIVISION CANALES DE ATENCION
13,DIVISION YAPE,GERENCIA GENERAL
14,OTROS,GERENCIA DE ÁREA CLIENTES CORPORAT PERU
15,GDH,GERENCIA DE AREA DE TECNOLOGIA - CTO
16,DATA,"GERENCIA CENTRAL DE TI, OPERA Y DATA"
17,TRIBUS,TRIBU YAPE EXPERIENCIA
18,DATA,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
19,ASUNTOS CORPORATIVOS,SIN_AREA
20,TRANSFORMACION AGIL,TRIBU EXPERIENCIA DEL COLABORADOR
21,TRIBUS,COE SALESFORCE
22,CLIENTES CONTENTOS,"GERENCIA CENTRAL DE TI, OPERA Y DATA"
23,SERVICIOS DE DISTRIBUCIÓN,SIN_AREA
24,GDH,GCIA ÁREA GLOBAL IT & CIBERSECURITY AUDI
25,MEDIOS DE PAGO,SIN_AREA
26,OTROS,GERENCIA DE DIVISION BANCA EMPRESA
27,TRIBUS,GERENCIA DE DIVISIÓN SOLUCIONES DE PAGO
28,GAF,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
29,TRIBUS,COE DATA
30,OTROS,GERENCIA DE AREA EFICIENCIA
31,OTROS,GERENCIA DE AREA ADMIN. DE RIESG DE MODE
32,RECONECTA,TRIBU YAPE EXPERIENCIA
33,SEGURIDAD,"ÁREA SEG CORP, INTELIG & C. CIBERNÉTICO"
34,OBRAS POR IMPUESTOS,AREA COMERCIAL LIMA 2
35,OTROS,GCIA DE AREA MOD  Y MET PARA GEST RIESGO
36,TRIBUS,COE MARKETING Y COMUNICACIONES
37,TRIBUS,SIN_AREA
38,RECONECTA,DIVISION YAPE
39,CLIENTES CONTENTOS,DIVISION DE NEOBANCA Y YAPE
40,DATA,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
41,SISTEMAS,COE CLOUD
42,CLIENTES CONTENTOS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
43,OTROS,COE MODEL RISK MANAGMENT
44,CLIENTES CONTENTOS,GERENCIA DE ÁREA BANCA INTERNACIONAL
45,TRIBUS,TRIBU ESTRATEGIA DE SOLUCIONES DE PAGO
46,SERVICIOS DE DISTRIBUCIÓN,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
47,DIVISION YAPE,DIVISION DE NEOBANCA Y YAPE
48,GDH,GER DIVISION DE RIESGOS NO FINANCIEROS
49,MEDIOS DE PAGO,TRIBU MEDIOS DE PAGO
50,DATA,GCIA DE DIVISION DATA & ANALYTICS
51,GAF,SIN_AREA
52,OTROS,GCIA AREA GESTION DE INFORMACION FINANCI
53,GDH,GCIA DE DIVISION LEGAL Y SECRETARIA GENE
54,OTROS,TRIBU STAFF DCA
55,CLIENTES CONTENTOS,GERENCIA DE AREA MATRIX
56,INGENIERIA,GERENCIA DE AREA DE INFRAESTRUCTURA
57,RECONECTA,GCIA DE DIVISION CANALES DE ATENCION
58,MARKETING,GERENCIA CENTRAL DE CLIENTES PERSONAS
59,MEDIOS DE PAGO,TRIBU SEGMENTOS PERSONAS
60,OTROS,CORP. DE COMPENSACIONES Y DESEMPEÑO
61,GAF,GERENCIA DE AREA DE INFRAESTRUCTURA
62,TRIBUS,GERENCIA DIVISION DE TESORERIA
63,OTROS,SIN_AREA
64,SISTEMAS,GER DIVISION DE RIESGOS NO FINANCIEROS
65,MEDIOS DE PAGO,GERENCIA DIVISION DE TESORERIA
66,INGENIERIA,SIN_AREA
67,CLIENTES CONTENTOS,"GCIA AREA ESTRAT. FINANZAS TI, DATA Y OP"
68,OTROS,GCIA DE AREA DE PROD Y VENT DE TESORERIA
69,SISTEMAS,GERENCIA DIV DESARROLLO PRODUC. PERSONAS
70,GDH,CORP. DE COMPENSACIONES Y DESEMPEÑO
71,SEGURIDAD,GER DIVISION DE RIESGOS NO FINANCIEROS
72,SISTEMAS,GCIA DE AREA SOLUCIONES TRANSVERSALES TI
73,OTROS,GCIA DIVIS DE CLIENTES CORPORAT E INTERN
74,TRIBUS,"GERENCIA CENTRAL DE TI, OPERA Y DATA"
75,MARKETING,COE LEAN AGILE CENTER OF EXCELLENCE-LACE
76,CLIENTES CONTENTOS,GCIA ÁREA CAPACIDADES DE TRANSFORMACIÓN
77,SUMINISTROS,SIN_AREA
78,GDH,"ÁREA SEG CORP, INTELIGENCIA & CYBERCRIME"
79,TRIBUS,GCIA TRANSFORMACIÓN DE LA EXPERIENCIA
80,MEDIOS DE PAGO,TRIBU PRESTAMOS
81,SERVICIOS DE DISTRIBUCIÓN,GCIA DE DIVISION DE CONTABILIDAD GENERAL
82,TRIBUS,TRIBU CANALES DIGITALES EMP & CORP
83,OTROS,GER.CTRAL PLANEAMIENTO Y FINANZAS
84,TRIBUS,TRIBU PYME
85,TRIBUS,GERENCIA DIV DESARROLLO PRODUC. PERSONAS
86,SISTEMAS,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
87,MARKETING,DIVISION DE NEOBANCA Y YAPE
88,TRIBUS,GCIA DE ÁREA DE INTELIGENCIA ARTIFICIAL
89,SISTEMAS,COE MARKETING Y COMUNICACIONES
90,INGENIERIA,TRIBU EXPERIENCIA DEL COLABORADOR
91,MARKETING,GERENCIA DE AREA DE SOSTENIBILIDAD
92,CLIENTES CONTENTOS,GERENCIA DE DIVISION SEGMENTOS PERSONAS
93,RECONECTA,AREA BANCA EMPRESAS LIMA(3)
94,SERVICIOS DE DISTRIBUCIÓN,GCIA DE AREA CUENT ESPEC Y SEG DE CREDIT
95,TRANSFORMACION AGIL,SIN_AREA
96,GDH,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
97,OBRAS POR IMPUESTOS,SIN_AREA
98,SISTEMAS,"TRIBU TARJETA, SERV Y PROD DE INVERSION"
99,CLIENTES CONTENTOS,GCIA DE DIV DE GES Y DES HUM Y ADMINISTR
100,OTROS,TRIBU DE RIESGOS NO FINANCIEROS
101,SUMINISTROS,DIVISION YAPE
102,CLIENTES CONTENTOS,GCIA DIV CANALES DIGI Y CAPAC. DE TRANSF
103,TRIBUS,TRIBU PRODUCTOS TRANSACCIONALES EMP&CORP
104,DATA,SIN_AREA
105,SISTEMAS,"GCIA AREA ESTRAT. FINANZAS TI, DATA Y OP"
106,SEGURIDAD,"ÁREA SEG CORP, INTELIGENCIA & CYBERCRIME"
107,SISTEMAS,SIN_AREA
108,TRIBUS,"TRIBU AHORROS, INVERSIONES Y TRANSACCION"
109,MARKETING,GCIA DE DIV ESTRATEGIA DE PERSONAS Y ADM
110,DIVISION YAPE,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
111,CLIENTES CONTENTOS,SIN_AREA
112,SISTEMAS,GCIA AREA ADMINISTRACION Y ABASTECIMIENT
113,TRIBUS,COE CRM
114,MARKETING,"ÁREA SEG CORP, INTELIGENCIA & CYBERCRIME"
115,MARKETING,GERENCIA DE AREA DE RECONECTA
116,SEGURIDAD,SIN_AREA
117,OTROS,GERENCIA DIVISION DE TESORERIA
118,MARKETING,GERENCIA DE DIVISIÓN SOLUCIONES DE PAGO
119,RECONECTA,GERENCIA DE AREA DE SOSTENIBILIDAD
120,GAF,TRIBU EXPERIENCIA DEL COLABORADOR
121,SISTEMAS,GCIA AREA SEG CORP INVESTI & LAB FORENSE
