id_pedido,pedido_compra,estado_pedido
0,4800778027,PAGADO
1,4800752687,PAGADO
2,4800710277,ANULADO
3,4800822950,COMPENSADO
4,4800800801,PAGADO
5,4800824733,EN CONTABILIDAD
6,4800753736,PAGADO
7,4800764729,PAGADO
8,4800817535,PAGADO
9,4800771125,PAGADO
10,4800825537,ENVIADO AL PROVEEDOR
11,4800770120,PAGADO
12,4800767223,PAGADO
13,4800802833,PAGADO
14,4800789149,PAGADO
15,4800802651,ANULADO
16,4800790792,PAGADO
17,4800825918,ENVIADO AL PROVEEDOR
18,4800763390,ANULADO
19,4800764576,COMPENSADO
20,4800759699,PAGADO
21,4800813414,COMPENSADO
22,4800778819,PAGADO
23,4800795549,PAGADO
24,4800798894,PAGADO
25,4800762611,PAGADO
26,4800813828,PAGADO
27,4800767545,COMPENSADO
28,4800773486,COMPENSADO
29,4800811741,PAGADO
30,4800808084,PAGADO
31,4800784927,PAGADO
32,4800805751,PROVISION
33,4800807797,PAGADO
34,4800802637,PAGADO
35,4800757256,PAGADO
36,4800779493,COMPENSADO
37,4800760985,PAGADO
38,4800824642,ANULADO
39,4800751949,PAGADO
40,4800797343,PAGADO
41,4800817930,PAGADO
42,4800821224,PAGADO
43,4800757136,PAGADO AL EXTERIOR
44,4800802932,PAGADO
45,4800755589,PAGADO
46,4800820083,PAGADO
47,4800819905,PAGADO
48,4800792208,PAGADO
49,4800825724,ENVIADO AL PROVEEDOR
50,4800785898,COMPENSADO
51,4800797395,PAGADO AL EXTERIOR
52,4800753513,PAGADO AL EXTERIOR
53,4800753404,PAGADO
54,4800783004,PAGADO
55,4800794685,PAGADO
56,4800810446,PAGADO
57,4800768280,PAGADO
58,4800753934,PAGADO
59,4800754077,PAGADO
60,4800785642,PAGADO
61,4800799512,PAGADO
62,4800755306,COMPENSADO
63,4800758859,PAGADO
64,4800788979,PAGADO
65,4800771264,ANULADO
66,4800822208,PAGADO
67,4800772066,COMPENSADO
68,4800774942,PAGADO
69,4800757013,PAGADO
70,4800797308,PAGADO
71,4800777996,PAGADO
72,4800792298,COMPENSADO
73,4800798115,PAGADO
74,4800761019,PAGADO
75,4800774456,PAGADO
76,4800795505,PAGADO
77,4800795499,PAGADO
78,4800797275,COMPENSADO
79,4800784699,PAGADO
